question;golden_path
What steps ensure secure access to a company database?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/050_setting-up-a-secure-connection-to-a-database-server.md""]"
How to safely reset a printer after a paper jam?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/009_resetting-a-jammed-printer.md""]"
What to do if Microsoft Word crashes on startup?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/060_troubleshooting-issues-with-microsoft-word.md""]"
How to fix file upload errors in Microsoft SharePoint?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/095_troubleshooting-issues-with-microsoft-sharepoint.pdf""]"
How to configure network settings for a new user's computer?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/019_setting-up-a-new-user-s-computer.md""]"
How to enable SSL/TLS for a MySQL database server?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/050_setting-up-a-secure-connection-to-a-database-server.md""]"
How to re-enable Adobe Flash when videos won’t load?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/021_troubleshooting-issues-with-adobe-flash.md""]"
How to perform a factory reset on a malfunctioning tablet?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/007_troubleshooting-issues-with-company-issued-tablets.md""]"
How to update antivirus and security patches on company devices?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf""]"
How to set up and test VPN access before remote work?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md""]"
How to reset and verify DNS settings to fix connectivity issues?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md""]"
How to check and clean a print head after a paper jam?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/009_resetting-a-jammed-printer.md""]"
How to troubleshoot slow system performance using Task Manager?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/042_troubleshooting-issues-with-a-slow-performing-computer.md""]"
How to install and verify Cisco AnyConnect VPN for company servers?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf""]"
How to configure international data roaming on company devices?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf""]"
How to attach supporting documentation when creating IT incidents?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md""]"
