question;golden_path
What are the IT helpdesk steps to handle access or login problems?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/100_resetting-a-forgotten-network-username.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md""]"
How to ensure a secure and encrypted connection to company databases and servers?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/050_setting-up-a-secure-connection-to-a-database-server.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/064_setting-up-a-secure-connection-to-a-company-issued-server.md""]"
What are the recommended troubleshooting steps for network or VPN connectivity?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/093_resetting-a-computer-s-dns-cache.pdf""]"
How can I clean and maintain IT hardware to prevent failures?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/009_resetting-a-jammed-printer.md""]"
How can IT staff support remote users working abroad securely?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf""]"
What are the guidelines for writing and publishing IT documentation articles?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/027_creating-a-knowledge-base-article.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md""]"
How can I fix software-related issues on a company computer?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/060_troubleshooting-issues-with-microsoft-word.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/098_troubleshooting-issues-with-a-slow-performing-computer.pdf""]"
How to ensure proper security configuration for all company-issued devices?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/066_configuring-a-company-issued-tablet-for-accessibility.md""]"
How can I verify network security and troubleshoot SSL or certificate errors?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/092_setting-up-a-secure-connection-to-a-company-issued-website.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/050_setting-up-a-secure-connection-to-a-database-server.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf""]"
What actions should be taken when users cannot access company web resources?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/095_troubleshooting-issues-with-microsoft-sharepoint.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/093_resetting-a-computer-s-dns-cache.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md""]"
How to identify and solve issues with slow or unstable network connections?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/098_troubleshooting-issues-with-a-slow-performing-computer.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/093_resetting-a-computer-s-dns-cache.pdf""]"
How should IT staff onboard a new employee and configure all required systems?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/019_setting-up-a-new-user-s-computer.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/096_setting-up-a-new-user-s-account-in-dropbox.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/100_resetting-a-forgotten-network-username.pdf""]"
How to resolve problems with company-issued tablets and accessibility settings?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/066_configuring-a-company-issued-tablet-for-accessibility.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/007_troubleshooting-issues-with-company-issued-tablets.md""]"
How can a user report an IT issue, attach evidence, and track its resolution?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf""]"
How to troubleshoot login, credential, or password-related issues?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/100_resetting-a-forgotten-network-username.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf""]"
What are the IT helpdesk procedures for resolving software malfunctions?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/060_troubleshooting-issues-with-microsoft-word.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/095_troubleshooting-issues-with-microsoft-sharepoint.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/021_troubleshooting-issues-with-adobe-flash.md""]"
How to safely connect to company servers from home or remote offices?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md""]"
How can I set up company-issued devices for secure international use?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/064_setting-up-a-secure-connection-to-a-company-issued-server.md""]"
How to ensure continuous data security while using VPN and database connections?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/050_setting-up-a-secure-connection-to-a-database-server.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf""]"
What should a user do when Microsoft Word or SharePoint fails to load documents?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/060_troubleshooting-issues-with-microsoft-word.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/095_troubleshooting-issues-with-microsoft-sharepoint.pdf""]"
How to properly configure a company VPN and test access to internal systems?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/064_setting-up-a-secure-connection-to-a-company-issued-server.md""]"
How to reset and test network settings to restore connectivity?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/093_resetting-a-computer-s-dns-cache.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md""]"
How can I optimize performance on a company laptop running slow?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/098_troubleshooting-issues-with-a-slow-performing-computer.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf""]"
How can employees prepare IT devices before business travel abroad?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/066_configuring-a-company-issued-tablet-for-accessibility.md""]"
How can I recover access to my company account and reset credentials?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/100_resetting-a-forgotten-network-username.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf""]"
How to submit a clear and detailed IT incident report for faster resolution?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md""]"
How to configure VPN, DNS, and proxy settings for optimal performance?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/093_resetting-a-computer-s-dns-cache.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md""]"
What steps should be followed when a user reports hardware malfunction?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/009_resetting-a-jammed-printer.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md""]"
